key,value,timestamp,topic,partition,offset
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95778.0, ""volume"": 0.0036523, ""timestamp"": ""2024-12-06T17:52:18.278041Z"", ""timestamp_ms"": 1733503938278}",1733507539478,trades,0,39403
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101151.0, ""volume"": 0.00035364, ""timestamp"": ""2024-12-06T17:52:18.863446Z"", ""timestamp_ms"": 1733503938863}",1733507540112,trades,0,39404
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.5, ""volume"": 0.00151489, ""timestamp"": ""2024-12-06T17:52:20.004309Z"", ""timestamp_ms"": 1733503940004}",1733507541350,trades,0,39405
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.5, ""volume"": 0.19848511, ""timestamp"": ""2024-12-06T17:52:20.004309Z"", ""timestamp_ms"": 1733503940004}",1733507541350,trades,0,39406
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95823.8, ""volume"": 0.00211237, ""timestamp"": ""2024-12-06T17:52:20.542219Z"", ""timestamp_ms"": 1733503940542}",1733507541933,trades,0,39407
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95883.0, ""volume"": 0.00132257, ""timestamp"": ""2024-12-06T17:52:21.619897Z"", ""timestamp_ms"": 1733503941619}",1733507543098,trades,0,39408
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95883.0, ""volume"": 9.528e-05, ""timestamp"": ""2024-12-06T17:52:21.633855Z"", ""timestamp_ms"": 1733503941633}",1733507543113,trades,0,39409
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101165.0, ""volume"": 0.00448835, ""timestamp"": ""2024-12-06T17:52:22.260331Z"", ""timestamp_ms"": 1733503942260}",1733507543793,trades,0,39410
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.51, ""volume"": 0.26167667, ""timestamp"": ""2024-12-06T17:52:22.853992Z"", ""timestamp_ms"": 1733503942853}",1733507544436,trades,0,39411
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101165.0, ""volume"": 8.117e-05, ""timestamp"": ""2024-12-06T17:52:23.604189Z"", ""timestamp_ms"": 1733503943604}",1733507545248,trades,0,39412
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101165.1, ""volume"": 0.0005, ""timestamp"": ""2024-12-06T17:52:26.126360Z"", ""timestamp_ms"": 1733503946126}",1733507547984,trades,0,39413
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101165.1, ""volume"": 0.00738414, ""timestamp"": ""2024-12-06T17:52:26.126360Z"", ""timestamp_ms"": 1733503946126}",1733507547985,trades,0,39414
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95815.4, ""volume"": 5e-05, ""timestamp"": ""2024-12-06T17:52:28.096909Z"", ""timestamp_ms"": 1733503948096}",1733507550117,trades,0,39415
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101165.1, ""volume"": 0.00051933, ""timestamp"": ""2024-12-06T17:52:29.376111Z"", ""timestamp_ms"": 1733503949376}",1733507551503,trades,0,39416
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4035.0, ""volume"": 1.0, ""timestamp"": ""2024-12-06T17:52:29.744289Z"", ""timestamp_ms"": 1733503949744}",1733507551899,trades,0,39417
